#mu,eb,a_crit
0.020,0.46,3.03
0.010,0.23,2.11
0.001,0.00,1.31
0.100,0.22,2.77
0.050,0.11,2.14
0.060,0.34,3.13
0.070,0.57,3.78
0.110,0.45,3.55
0.030,0.69,3.77
0.080,0.80,4.17
0.010,0.24,2.12
0.110,0.46,3.56
0.060,0.35,3.13
0.020,0.47,3.02
0.001,0.01,1.32
0.030,0.70,3.77
0.050,0.12,2.17
0.100,0.23,2.78
0.070,0.58,3.80
0.090,0.00,1.96
0.110,0.47,3.78
0.060,0.36,3.14
0.010,0.25,2.12
0.030,0.71,3.77
0.020,0.48,3.03
0.050,0.13,2.20
0.070,0.59,3.80
0.100,0.24,2.79
0.001,0.02,1.32
0.110,0.48,3.78
0.060,0.37,3.15
0.090,0.01,2.14
0.010,0.26,2.12
0.030,0.72,3.77
0.020,0.49,3.03
0.050,0.14,2.21
0.070,0.60,3.80
0.100,0.25,3.03
0.001,0.03,1.34
0.110,0.49,3.78
0.060,0.38,3.17
0.030,0.73,3.78
0.020,0.50,3.05
0.090,0.02,2.18
0.010,0.27,2.13
0.050,0.15,2.21
0.001,0.04,1.37
0.070,0.61,3.83
0.100,0.26,3.06
0.020,0.51,3.06
0.110,0.50,3.79
0.030,0.74,3.78
0.090,0.03,2.19
0.060,0.39,3.21
0.010,0.28,2.13
0.001,0.05,1.42
0.050,0.16,2.22
0.070,0.62,3.85
0.020,0.52,3.16
0.100,0.27,3.06
0.030,0.75,3.78
0.060,0.40,3.40
0.090,0.04,2.19
0.110,0.51,3.80
0.001,0.06,1.42
0.010,0.29,2.15
0.050,0.17,2.30
0.020,0.53,3.16
0.070,0.63,3.88
0.100,0.28,3.09
0.030,0.76,3.79
0.060,0.41,3.40
0.001,0.07,1.43
0.090,0.05,2.19
0.110,0.52,3.80
0.010,0.30,2.15
0.050,0.18,2.35
0.001,0.08,1.44
0.030,0.77,3.79
0.020,0.54,3.16
0.100,0.29,3.10
0.070,0.64,3.89
0.090,0.06,2.19
0.060,0.42,3.41
0.110,0.53,3.80
0.001,0.09,1.46
0.010,0.31,2.16
0.020,0.55,3.20
0.060,0.43,3.41
0.100,0.30,3.15
0.050,0.19,2.60
0.030,0.78,3.79
0.070,0.65,3.89
0.090,0.07,2.19
0.110,0.54,3.81
0.001,0.10,1.47
0.030,0.79,3.83
0.100,0.31,3.15
0.010,0.32,2.17
0.020,0.56,3.40
0.050,0.20,2.60
0.060,0.44,3.42
0.070,0.66,3.89
0.001,0.11,1.47
0.090,0.08,2.21
0.110,0.55,3.83
0.030,0.80,3.85
0.100,0.32,3.16
0.020,0.57,3.40
0.010,0.33,2.17
0.060,0.45,3.42
0.090,0.09,2.22
0.050,0.21,2.61
0.001,0.12,1.48
0.070,0.67,3.89
0.110,0.56,3.83
0.040,0.00,1.89
0.100,0.33,3.19
0.020,0.58,3.40
0.060,0.46,3.45
0.090,0.10,2.22
0.050,0.22,2.62
0.010,0.34,2.21
0.070,0.68,3.90
0.001,0.13,1.49
0.040,0.01,1.89
0.110,0.57,3.83
0.060,0.47,3.48
0.100,0.34,3.22
0.050,0.23,2.62
0.020,0.59,3.40
0.090,0.11,2.30
0.070,0.69,3.89
0.001,0.14,1.56
0.040,0.02,1.93
0.010,0.35,2.21
0.060,0.48,3.51
0.110,0.58,3.86
0.100,0.35,3.41
0.050,0.24,2.63
0.020,0.60,3.40
0.090,0.12,2.31
0.070,0.70,4.13
0.040,0.03,1.98
0.001,0.15,1.57
0.010,0.36,2.35
0.060,0.49,3.51
0.100,0.36,3.41
0.110,0.59,3.89
0.050,0.25,2.66
0.090,0.13,2.32
0.020,0.61,3.40
0.070,0.71,4.13
0.010,0.37,2.35
0.040,0.04,2.14
0.001,0.16,1.57
0.110,0.60,3.89
0.100,0.37,3.42
0.060,0.50,3.52
0.090,0.14,2.60
0.020,0.62,3.41
0.050,0.26,2.67
0.010,0.38,2.35
0.070,0.72,4.13
0.100,0.38,3.42
0.040,0.05,2.14
0.001,0.17,1.58
0.060,0.51,3.55
0.110,0.61,3.89
0.050,0.27,2.69
0.040,0.06,2.09
0.090,0.15,2.61
0.020,0.63,3.42
0.010,0.39,2.59
0.100,0.39,3.43
0.110,0.62,3.92
0.001,0.18,1.60
0.070,0.73,4.14
0.060,0.52,3.57
0.040,0.07,2.10
0.050,0.28,2.76
0.010,0.40,2.59
0.090,0.16,2.63
0.020,0.64,3.41
0.060,0.53,3.57
0.110,0.63,3.91
0.100,0.40,3.45
0.040,0.08,2.12
0.001,0.19,1.62
0.070,0.74,4.14
0.010,0.41,2.60
0.090,0.17,2.63
0.050,0.29,2.76
0.060,0.54,3.77
0.100,0.41,3.47
0.020,0.65,3.42
0.001,0.20,1.65
0.110,0.64,4.15
0.040,0.09,2.13
0.060,0.55,3.77
0.070,0.75,4.14
0.010,0.42,2.61
0.090,0.18,2.67
0.050,0.30,2.77
0.010,0.43,2.61
0.020,0.66,3.43
0.100,0.42,3.51
0.001,0.21,1.73
0.110,0.65,4.15
0.040,0.10,2.13
0.070,0.76,4.15
0.060,0.56,3.77
0.090,0.19,2.68
0.050,0.31,2.78
0.110,0.66,4.15
0.040,0.11,2.13
0.010,0.44,2.60
0.020,0.67,3.51
0.060,0.57,3.78
0.100,0.43,3.52
0.001,0.22,1.75
0.070,0.77,4.15
0.110,0.67,4.15
0.040,0.12,2.14
0.090,0.20,2.70
0.050,0.32,3.02
0.020,0.68,3.52
0.060,0.58,3.78
0.010,0.45,2.62
0.100,0.44,3.53
0.070,0.78,4.15
0.001,0.23,1.77
0.040,0.13,2.16
0.090,0.21,2.75
0.050,0.33,3.04
0.010,0.46,2.62
0.110,0.68,4.16
0.060,0.59,3.78
0.020,0.69,3.51
0.100,0.45,3.55
0.001,0.24,1.78
0.070,0.79,4.15
0.010,0.47,2.63
0.060,0.60,3.79
0.040,0.14,2.14
0.090,0.22,2.77
0.050,0.34,3.04
0.110,0.69,4.16
0.100,0.46,3.55
0.020,0.70,3.52
0.001,0.25,1.78
0.070,0.80,4.16
0.040,0.15,2.17
0.010,0.48,2.63
0.090,0.23,2.77
0.060,0.61,3.80
0.050,0.35,3.07
0.110,0.70,4.16
0.001,0.26,1.79
0.100,0.47,3.77
0.040,0.16,2.21
0.010,0.49,2.63
0.020,0.71,3.52
0.090,0.24,2.77
0.080,0.00,1.94
0.060,0.62,3.80
0.050,0.36,3.08
0.001,0.27,1.80
0.110,0.71,4.17
0.100,0.48,3.78
0.040,0.17,2.21
0.090,0.25,2.79
0.010,0.50,2.64
0.020,0.72,3.53
0.080,0.01,2.13
0.060,0.63,3.80
0.110,0.72,4.17
0.001,0.28,1.86
0.050,0.37,3.14
0.100,0.49,3.78
0.040,0.18,2.23
0.010,0.51,2.65
0.020,0.73,3.53
0.090,0.26,2.82
0.080,0.02,2.18
0.110,0.73,4.18
0.060,0.64,3.83
0.001,0.29,1.87
0.100,0.50,3.78
0.010,0.52,2.77
0.050,0.38,3.15
0.090,0.27,3.05
0.040,0.19,2.29
0.020,0.74,3.76
0.080,0.03,2.18
0.110,0.74,4.19
0.060,0.65,3.85
0.010,0.53,2.77
0.100,0.51,3.79
0.001,0.30,1.88
0.090,0.28,3.06
0.050,0.39,3.15
0.040,0.20,2.30
0.080,0.04,2.18
0.020,0.75,3.76
0.110,0.75,4.19
0.060,0.66,3.86
0.010,0.54,2.80
0.001,0.31,1.89
0.100,0.52,3.80
0.080,0.05,2.18
0.050,0.40,3.16
0.090,0.29,3.09
0.020,0.76,3.77
0.040,0.21,2.60
0.010,0.55,2.81
0.060,0.67,3.88
0.001,0.32,1.97
0.110,0.76,4.19
0.100,0.53,3.80
0.080,0.06,2.18
0.090,0.30,3.11
0.050,0.41,3.20
0.020,0.77,3.77
0.010,0.56,3.01
0.110,0.77,4.19
0.060,0.68,3.89
0.040,0.22,2.60
0.001,0.33,1.99
0.100,0.54,3.80
0.050,0.42,3.40
0.080,0.07,2.17
0.020,0.78,3.77
0.010,0.57,3.01
0.090,0.31,3.14
0.110,0.78,4.19
0.040,0.23,2.61
0.060,0.69,3.89
0.001,0.34,2.00
0.100,0.55,3.81
0.050,0.43,3.40
0.080,0.08,2.19
0.090,0.32,3.15
0.020,0.79,3.77
0.010,0.58,3.01
0.040,0.24,2.61
0.060,0.70,3.89
0.050,0.44,3.40
0.110,0.79,4.19
0.100,0.56,3.83
0.001,0.35,2.01
0.080,0.09,2.21
0.050,0.45,3.41
0.020,0.80,3.77
0.090,0.33,3.16
0.001,0.36,2.01
0.010,0.59,3.02
0.040,0.25,2.62
0.060,0.71,3.89
0.110,0.80,4.20
0.100,0.57,3.83
0.080,0.10,2.22
0.050,0.46,3.41
0.010,0.60,3.03
0.030,0.00,1.72
0.090,0.34,3.21
0.040,0.26,2.62
0.001,0.37,2.04
0.120,0.00,2.16
0.060,0.72,4.12
0.100,0.58,3.83
0.010,0.61,3.03
0.050,0.47,3.42
0.080,0.11,2.22
0.030,0.01,1.79
0.040,0.27,2.63
0.001,0.38,2.04
0.090,0.35,3.21
0.120,0.01,2.17
0.060,0.73,4.13
0.100,0.59,3.89
0.080,0.12,2.21
0.010,0.62,3.03
0.050,0.48,3.42
0.040,0.28,2.65
0.001,0.39,2.05
0.030,0.02,1.89
0.060,0.74,4.13
0.100,0.60,3.89
0.050,0.49,3.45
0.090,0.36,3.41
0.080,0.13,2.31
0.120,0.02,2.20
0.010,0.63,3.05
0.060,0.75,4.13
0.001,0.40,2.10
0.030,0.03,1.91
0.040,0.29,2.67
0.100,0.61,3.89
0.050,0.50,3.51
0.080,0.14,2.32
0.090,0.37,3.41
0.120,0.03,2.21
0.060,0.76,4.13
0.010,0.64,3.04
0.080,0.15,2.60
0.050,0.51,3.51
0.001,0.41,2.11
0.090,0.38,3.41
0.040,0.30,2.75
0.030,0.04,1.97
0.100,0.62,3.89
0.120,0.04,2.21
0.060,0.77,4.14
0.010,0.65,3.05
0.001,0.42,2.14
0.120,0.05,2.21
0.050,0.52,3.51
0.080,0.16,2.61
0.090,0.39,3.42
