#a_0,e_0,emax,emin,tcol
0.228,0.220,0.92586,0.21521,0.03791
0.323,0.110,1.22900,0.04639,0.04259
0.270,0.250,0.87141,0.23101,0.03803
0.255,0.200,0.87631,0.18464,0.03480
0.227,0.290,0.82158,0.28640,0.05147
0.331,0.130,1.32315,0.05193,0.04840
0.283,0.110,0.77409,0.07693,0.03455
0.190,0.330,0.33010,0.33010,-0.00567
0.500,0.200,0.22628,0.01641,-54.39341
0.486,0.210,0.64292,0.00279,8.25000
0.275,0.360,0.57633,0.35459,0.05931
0.331,0.010,1.13006,0.01007,-38.22411
0.343,0.090,1.16059,0.02665,-32.97374
0.332,0.280,1.17645,0.18441,0.04306
0.240,0.290,0.86585,0.28534,0.04647
0.495,0.210,1.66942,0.08172,-21.66013
0.381,0.080,1.25583,0.00766,-29.33477
0.339,0.060,1.12107,0.02245,-40.16117
0.574,0.200,1.22192,0.12199,-61.22409
0.475,0.440,1.19187,0.00247,18.75593
0.426,0.460,0.83409,0.18211,0.08148
0.319,0.080,1.38742,0.03869,0.04393
0.321,0.260,1.01949,0.17634,0.04052
0.259,0.460,0.46010,0.46010,-0.00295
0.219,0.310,-1.00000,-1.00000,0.00000
0.323,0.260,1.05659,0.17353,0.04090
0.341,0.390,1.47150,0.34148,-15.07767
0.399,0.290,1.23747,0.05849,-56.26358
0.241,0.440,-1.00000,-1.00000,0.00000
0.282,0.220,0.95465,0.18039,0.03649
0.399,0.170,1.44761,0.02558,-106.65917
0.487,0.430,1.09834,0.02511,-49.96672
0.564,0.420,1.12310,0.01966,-36.13910
0.519,0.250,1.26376,0.09688,-30.77631
0.197,0.140,0.92649,0.13764,0.03406
0.224,0.200,0.86726,0.19531,0.03645
0.390,0.200,1.23450,0.01606,-26.89803
0.193,0.410,-1.00000,-1.00000,0.00000
0.210,0.020,0.81550,0.02007,0.02659
0.523,0.460,1.20969,0.03938,-29.02949
0.338,0.180,1.34669,0.07372,0.04839
0.571,0.470,1.24554,0.00689,-25.47158
0.351,0.300,1.18878,0.18038,0.04712
0.279,0.120,0.96502,0.08624,0.03385
0.360,0.300,1.65410,0.16360,-20.53403
0.392,0.040,1.08097,0.01279,-61.10979
0.219,0.020,0.76733,0.02007,0.02709
0.279,0.390,0.62020,0.38505,0.06840
0.533,0.420,1.17693,0.04347,-39.34074
0.453,0.290,0.88115,0.07471,2.64860
0.219,0.170,0.86848,0.16550,0.03429
0.556,0.460,1.42764,0.05231,-19.96663
0.542,0.350,0.64546,0.12950,4.43388
0.353,0.070,1.25081,0.02074,-26.14185
0.582,0.070,0.15490,0.00274,13.46400
0.505,0.390,1.15182,0.01914,-34.29794
0.199,0.190,0.90228,0.18752,0.03925
0.274,0.110,0.71753,0.08212,0.03349
0.587,0.350,1.24431,0.13763,-37.70902
0.540,0.130,0.24471,0.08433,-68.03671
0.305,0.390,1.39658,0.38187,0.27055
0.577,0.400,1.20411,0.06354,-33.86773
0.379,0.360,1.08571,0.21824,-43.91881
0.271,0.500,-1.00000,-1.00000,0.00000
0.542,0.460,0.99802,0.02032,-25.92346
0.226,0.500,0.50011,0.50011,-0.00550
0.413,0.420,0.89600,0.04601,0.08684
0.533,0.010,1.09328,0.00025,-270.92538
0.190,0.010,0.83964,0.01007,0.02592
0.434,0.360,1.23482,0.03472,0.60948
0.255,0.290,0.92283,0.28440,0.04345
0.192,0.180,0.95168,0.17826,0.03952
0.280,0.350,0.79654,0.34365,0.05267
0.266,0.110,0.88787,0.08647,0.03229
0.490,0.380,1.11452,0.02780,-44.52938
0.411,0.050,1.02294,0.00344,-192.15999
0.428,0.280,1.06112,0.03754,-114.87724
0.478,0.070,1.32711,0.03317,-611.51260
0.220,0.040,0.82576,0.04002,0.02760
0.387,0.220,1.19208,0.01799,-31.10010
0.527,0.260,1.15077,0.06425,-42.98556
0.379,0.450,0.60389,0.28504,0.07485
0.291,0.370,1.56548,0.36301,-13.40825
0.529,0.190,1.11820,0.14498,-63.14893
0.262,0.020,0.96133,0.02007,0.03129
0.537,0.320,0.78345,0.16419,-18.82149
0.506,0.190,1.11114,0.05167,21.78895
0.506,0.240,1.02593,0.05816,-88.08639
0.462,0.350,1.28243,0.00409,-25.38110
0.493,0.490,1.08524,0.10714,0.32516
0.249,0.120,0.82509,0.10558,0.03129
0.537,0.170,1.22576,0.13335,-67.14713
0.300,0.310,0.86339,0.27678,0.04327
0.297,0.130,1.09257,0.07875,0.03630
0.480,0.040,1.33969,0.00880,-53.61504
0.583,0.190,1.07522,0.10982,-84.46160
0.268,0.210,0.81894,0.18440,0.03560
0.476,0.490,1.06959,0.14062,4.87526
0.571,0.340,0.99971,0.24353,-34.08786
0.260,0.090,0.74209,0.07409,0.03163
