#a_0,e_0,emax,emin,tcol
0.262,0.120,0.77203,0.09789,0.03226
0.312,0.380,1.72121,0.36742,-0.62224
0.682,0.420,1.10867,0.33127,-8.60721
0.431,0.170,1.14102,0.06710,-7.22510
0.395,0.440,0.63789,0.15571,0.07993
0.595,0.450,1.21835,0.03848,-5.63189
0.251,0.080,0.73547,0.06967,0.03066
0.305,0.140,1.03781,0.08079,0.03712
0.647,0.250,0.94157,0.18377,-62.95754
0.775,0.300,0.96088,0.24805,-1443.60241
0.366,0.390,1.11851,0.29597,-1.27488
0.463,0.020,1.10322,0.00114,-49.76372
1.373,0.050,0.05260,0.04162,100000.00000
1.325,0.050,0.05275,0.04108,100000.00000
0.773,0.030,0.03824,0.00386,100000.00000
1.333,0.100,0.10294,0.09119,100000.00000
0.395,0.320,1.00699,0.11411,0.39750
0.745,0.030,0.03920,0.00166,100000.00000
0.987,0.100,0.10528,0.08447,100000.00000
0.492,0.110,1.37392,0.03062,-145.12499
0.696,0.050,0.06245,0.01765,100000.00000
0.569,0.430,1.05010,0.21828,-5.60432
1.379,0.160,0.16310,0.15162,100000.00000
0.477,0.230,1.40963,0.10903,-7.19269
1.399,0.180,0.18314,0.17177,100000.00000
0.972,0.190,0.19742,0.17378,100000.00000
1.271,0.330,0.33612,0.31900,100000.00000
1.207,0.320,0.32678,0.30805,100000.00000
0.997,0.320,0.33448,0.30367,100000.00000
1.457,0.340,0.34446,0.33125,100000.00000
0.760,0.290,0.31626,0.25457,100000.00000
1.332,0.350,0.35584,0.33964,100000.00000
0.562,0.270,1.21405,0.05502,-38.31184
1.426,0.390,0.39578,0.38031,100000.00000
0.951,0.380,0.41053,0.35924,100000.00000
0.833,0.450,0.96598,0.27614,-63.28225
1.197,0.380,0.38987,0.36715,100000.00000
0.350,0.320,1.08236,0.21038,0.04706
0.432,0.060,0.97841,0.00965,-16.32775
1.276,0.400,0.40909,0.38821,100000.00000
0.359,0.060,1.02131,0.01453,-5.96612
0.418,0.090,0.99165,0.02584,-5.48449
1.002,0.040,0.04443,0.02478,100000.00000
1.284,0.150,0.15341,0.14045,100000.00000
1.366,0.160,0.16315,0.15148,100000.00000
1.463,0.240,0.24330,0.23211,100000.00000
1.199,0.270,0.27559,0.25844,100000.00000
0.276,0.360,0.59835,0.35519,0.05864
0.931,0.040,0.04520,0.02238,100000.00000
1.479,0.330,0.33417,0.32160,100000.00000
0.288,0.460,0.85271,0.45723,0.10672
0.331,0.400,1.23896,0.37635,1.05982
0.682,0.160,0.18661,0.12929,100000.00000
1.431,0.110,0.11267,0.10223,100000.00000
1.141,0.060,0.06356,0.04820,100000.00000
0.941,0.460,0.96397,0.36969,-148.12133
1.140,0.390,0.40398,0.37612,100000.00000
0.580,0.380,1.07969,0.02350,-10.58705
1.189,0.360,0.36900,0.34731,100000.00000
1.317,0.400,0.40812,0.38880,100000.00000
0.593,0.140,0.24360,0.04759,100000.00000
1.110,0.210,0.21551,0.19720,100000.00000
0.342,0.190,1.43630,0.07370,0.05103
0.719,0.320,0.98303,0.24445,-62.33164
0.934,0.140,0.14692,0.12269,100000.00000
1.133,0.060,0.06361,0.04804,100000.00000
1.420,0.190,0.19314,0.18195,100000.00000
1.111,0.180,0.18501,0.16736,100000.00000
0.244,0.280,1.08180,0.27551,0.04341
0.510,0.470,0.90660,0.01307,0.21537
0.954,0.240,0.25002,0.22300,100000.00000
1.064,0.280,0.28835,0.26561,100000.00000
0.407,0.480,1.04434,0.29954,0.07713
0.929,0.120,0.12655,0.10251,100000.00000
1.155,0.200,0.20486,0.18818,100000.00000
0.766,0.000,0.02760,0.00000,100000.00000
1.240,0.010,0.01296,0.00000,100000.00000
0.976,0.020,0.02453,0.00389,100000.00000
0.481,0.180,1.14272,0.01332,-5.18400
1.478,0.130,0.13263,0.12263,100000.00000
1.410,0.020,0.02240,0.01137,100000.00000
